last_name, first_name,player_id,year,xba,exit_velocity_avg,barrel_batted_rate,
Seager, Corey,608369,2021,.330,92.5,14.5,
Swanson, Dansby,621020,2021,.242,90.2,9.3,
Newman, Kevin,621028,2021,.200,83.6,0,
Margot, Manuel,622534,2021,.259,88.6,7.5,
Cronenworth, Jake,630105,2021,.267,87.1,4.4,
Robles, Victor,645302,2021,.229,85.8,2.9,
Naylor, Josh,647304,2021,.255,90.1,7.7,
Chapman, Matt,656305,2021,.195,87.5,14,
Hoskins, Rhys,656555,2021,.237,92,15.2,
DeJong, Paul,657557,2021,.228,87.4,18.9,
Laureano, Ramon,657656,2021,.246,89.3,11.1,
Fuentes, Josh,658069,2021,.189,83.9,0,
Riley, Austin,663586,2021,.214,84.7,2.5,
Madrigal, Nick,663611,2021,.266,86.3,0,
Lowe, Brandon,664040,2021,.217,87.6,14,
Bohm, Alec,664761,2021,.273,93.2,8.5,
Walsh, Jared,665120,2021,.284,88.2,12.2,
Bichette, Bo,666182,2021,.238,90.3,15.1,
Trammell, Taylor,666211,2021,.158,84,11.5,
Reynolds, Bryan,668804,2021,.313,88.3,10.4,
Edman, Tommy,669242,2021,.282,87.2,1.5,
Solak, Nick,669256,2021,.271,89.1,13,
Longoria, Evan,446334,2021,.326,96.1,19.5,
Turner, Justin,457759,2021,.276,88.7,14.3,
Andrus, Elvis,462101,2021,.219,87.7,2,
Martinez, J.D.,502110,2021,.311,92.9,17,
Goldschmidt, Paul,502671,2021,.287,93.2,7.4,
Heyward, Jason,518792,2021,.199,91.3,2.6,
Stanton, Giancarlo,519317,2021,.212,95.8,13.9,
Grossman, Robbie,543257,2021,.231,84.9,5.4,
Hosmer, Eric,543333,2021,.300,90.8,3.3,
Gregorius, Didi,544369,2021,.243,82.3,4.7,
Trout, Mike,545361,2021,.346,95.3,25,
Narvaez, Omar,553882,2021,.340,88.6,9.5,
Suarez, Eugenio,553993,2021,.161,85.7,12.1,
Naquin, Tyler,571980,2021,.316,96,18.9,
Contreras, Willson,575929,2021,.240,87.8,17.1,
Bryant, Kris,592178,2021,.250,89.4,14,
Machado, Manny,592518,2021,.293,95.2,12.5,
Bogaerts, Xander,593428,2021,.309,86.3,7.7,
Profar, Jurickson,595777,2021,.249,84.8,0,
Candelario, Jeimer,600869,2021,.242,87.6,2,
Betts, Mookie,605141,2021,.279,87.4,4.8,
Tapia, Raimel,606132,2021,.267,85.7,3.8,
Olson, Matt,621566,2021,.317,92.8,19.1,
Biggio, Cavan,624415,2021,.134,89.7,3.3,
Meadows, Austin,640457,2021,.275,92,14.9,
Locastro, Tim,641796,2021,.252,82.7,2.5,
Albies, Ozzie,645277,2021,.315,89.6,4.1,
McKinstry, Zach,656716,2021,.271,89.3,9.8,
Mullins II, Cedric,656775,2021,.276,90,2,
Tucker, Kyle,663656,2021,.281,90.7,12.5,
India, Jonathan,663697,2021,.206,85.3,7.9,
Happ, Ian,664023,2021,.226,90.8,11.1,
Guerrero Jr., Vladimir,665489,2021,.360,94.6,10.2,
Arozarena, Randy,668227,2021,.202,92.4,4.5,
Martinez, Victor,400121,2018,.266,87.8,4.7,
Mauer, Joe,408045,2018,.288,91.1,5,
Choo, Shin-Soo,425783,2018,.249,89.3,11.1,
Molina, Yadier,425877,2018,.266,88.2,5.5,
Encarnacion, Edwin,429665,2018,.241,89.9,11.2,
Jones, Adam,430945,2018,.266,88.4,4.9,
Kinsler, Ian,435079,2018,.248,85.3,3.1,
Desmond, Ian,435622,2018,.227,90.1,7,
Cruz Jr., Nelson,443558,2018,.281,93.9,13.8,
Peralta, David,444482,2018,.278,91.5,7.8,
Escobar, Alcides,444876,2018,.236,84.6,2.1,
Jay, Jon,445055,2018,.248,85.2,1.8,
Longoria, Evan,446334,2018,.250,88.5,7.8,
Davis, Chris,448801,2018,.187,89.5,10.3,
Zobrist, Ben,450314,2018,.270,89.9,3,
Cabrera, Asdrubal,452678,2018,.249,90,7.5,
Blackmon, Charlie,453568,2018,.275,87.5,6.5,
Markakis, Nick,455976,2018,.292,90.6,3.1,
Nunez, Eduardo,456488,2018,.257,88.4,3.4,
Cain, Lorenzo,456715,2018,.282,89.1,3.4,
McCutchen, Andrew,457705,2018,.259,90,8.4,
Upton, Justin,457708,2018,.249,90.9,14,
Votto, Joey,458015,2018,.286,88.3,6.9,
Gardner, Brett,458731,2018,.226,88.1,3,
Gordon, Alex,460086,2018,.252,88.5,6.8,
Kemp, Matt,461314,2018,.267,89.8,11,
Santana, Carlos,467793,2018,.242,88.9,6.9,
Gonzalez, Carlos,471865,2018,.245,89.7,6.2,
Alonso, Yonder,475174,2018,.249,87.8,9.8,
Smoak, Justin,475253,2018,.223,89.5,10.8,
Lowrie, Jed,476704,2018,.246,89.2,5.3,
Brantley Jr., Michael,488726,2018,.300,90.2,3.5,
Gurriel, Yuli,493329,2018,.258,89.3,1.9,
Solarte, Yangervis,500208,2018,.254,87.1,5,
Rojas, Miguel,500743,2018,.264,84.7,0.9,
Escobar, Eduardo,500871,2018,.244,86.7,8.3,
Martinez, Jose,500874,2018,.301,91,9.4,
Davis, Khris,501981,2018,.245,92.5,17.2,
Pham, Tommy,502054,2018,.287,93,10.1,
Martinez, J.D.,502110,2018,.307,93,16.3,
Goldschmidt, Paul,502671,2018,.271,90.8,13.6,
Gonzalez, Marwin,503556,2018,.242,89.1,7,
Altuve, Jose,514888,2018,.287,87.2,6.1,
Hernandez, Cesar,514917,2018,.235,86,4.4,
Segura, Jean,516416,2018,.270,87.8,3.6,
Castro, Starlin,516770,2018,.256,88.6,6.9,
Marte, Starling,516782,2018,.262,88.5,7.5,
Dietrich, Derek,518618,2018,.237,87.6,6.1,
Freeman, Freddie,518692,2018,.296,89.1,9.3,
Grandal, Yasmani,518735,2018,.219,89,11.6,
LeMahieu, DJ,518934,2018,.275,91.4,5.2,
Moustakas, Mike,519058,2018,.257,89.5,8.8,
Rizzo, Anthony,519203,2018,.286,90.1,6.7,
Stanton, Giancarlo,519317,2018,.244,93.8,15.4,
Galvis, Freddy,520471,2018,.214,88.7,4.1,
Perez, Salvador,521692,2018,.258,91.4,10.8,
Inciarte, Ender,542255,2018,.251,84.9,1.5,
Ozuna, Marcell,542303,2018,.284,91.5,9.7,
Villar, Jonathan,542340,2018,.221,88.5,5.1,
Aguilar, Jesus,542583,2018,.253,89.7,11.4,
Crawford, Brandon,543063,2018,.250,87.5,3.6,
Cron, C.J.,543068,2018,.247,88,12.2,
Hicks, Aaron,543305,2018,.259,89.7,8.8,
Hosmer, Eric,543333,2018,.241,88.7,5.9,
Kipnis, Jason,543401,2018,.232,86.9,6.6,
Rendon, Anthony,543685,2018,.298,90.6,10.1,
Semien, Marcus,543760,2018,.239,86.8,4.5,
Shaw, Travis,543768,2018,.243,88.9,10.3,
Springer III, George,543807,2018,.253,88.7,8.9,
Strange-Gordon, Dee,543829,2018,.255,83.6,0.2,
Gregorius, Didi,544369,2018,.255,87,4.7,
Trout, Mike,545361,2018,.294,91.2,16.8,
Herrera, Odubel,546318,2018,.226,87.1,4.9,
Harper, Bryce,547180,2018,.261,91,11.5,
Abreu, Jose,547989,2018,.277,91.3,9.1,
Suarez, Eugenio,553993,2018,.275,91.2,9.7,
Polanco, Gregory,570256,2018,.243,88.9,9.4,
Sanchez, Yolmer,570560,2018,.233,86.7,3,
Arenado, Nolan,571448,2018,.264,89.8,7.2,
Barnhart, Tucker,571466,2018,.238,87.1,3.5,
Gennett, Scooter,571697,2018,.256,87.4,6,
Hamilton, Billy,571740,2018,.217,80.5,0.5,
Haniger, Mitch,571745,2018,.276,90.2,10.3,
Piscotty, Stephen,572039,2018,.266,88.5,9.6,
Seager, Kyle,572122,2018,.246,89.8,5.6,
Carpenter, Matt,572761,2018,.265,90.7,13.7,
Dickerson, Corey,572816,2018,.284,88.1,6.1,
Dozier, Brian,572821,2018,.200,86.8,6.3,
Contreras, Willson,575929,2018,.214,88.2,7.3,
Castellanos, Nick,592206,2018,.296,89.6,11.2,
Healy, Ryon,592387,2018,.257,89.6,7.1,
Machado, Manny,592518,2018,.287,91.6,11.3,
Realmuto, J.T.,592663,2018,.270,89.1,9,
Rosario, Eddie,592696,2018,.236,87.7,8.3,
Simmons, Andrelton,592743,2018,.273,88.2,4.1,
Yelich, Christian,592885,2018,.316,92.6,12.9,
Merrifield, Whit,593160,2018,.280,87.1,4.8,
Bogaerts, Xander,593428,2018,.277,90.6,9.8,
Calhoun, Kole,594777,2018,.247,90.7,9.3,
Profar, Jurickson,595777,2018,.250,87.4,5,
Baez, Javier,595879,2018,.262,90.6,12.6,
Lindor, Francisco,596019,2018,.286,90.6,9.5,
Odor, Rougned,596059,2018,.234,90.7,7.1,
Story, Trevor,596115,2018,.265,91,12.7,
Kepler, Max,596146,2018,.230,89.5,6.6,
Bradley Jr. Jr., Jackie,598265,2018,.260,92.2,10.3,
Candelario, Jeimer,600869,2018,.206,87.1,6,
Ahmed, Nick,605113,2018,.238,86.9,5.1,
Anderson, Brian,605119,2018,.260,90.2,5.8,
Bell, Josh,605137,2018,.255,90.2,7,
Betts, Mookie,605141,2018,.307,92.2,14.1,
Smith, Mallex,605480,2018,.251,85.8,1.5,
Hernandez, Teoscar,606192,2018,.234,91.8,15.5,
Peraza, Jose,606299,2018,.267,85.8,2.5,
Marte, Ketel,606466,2018,.256,88.9,5.2,
Nimmo, Brandon,607043,2018,.241,90,6.8,
Turner, Trea,607208,2018,.268,89.1,5.8,
Pillar, Kevin,607680,2018,.280,87.3,5.7,
Ramirez, Jose,608070,2018,.256,89,8.3,
Bregman, Alex,608324,2018,.270,89.4,7.6,
Gallo, Joey,608336,2018,.233,94.4,22.9,
Mazara, Nomar,608577,2018,.258,90.5,8.5,
Andujar, Miguel,609280,2018,.273,89.1,6.3,
Swanson, Dansby,621020,2018,.230,88,4.1,
Taylor, Chris,621035,2018,.234,88.9,8.3,
Wendle, Joey,621563,2018,.260,88.8,2.7,
Olson, Matt,621566,2018,.252,93.3,12.6,
Duffy, Matt,622110,2018,.269,86.8,1.2,
Margot, Manuel,622534,2018,.248,89.4,3.3,
Camargo, Johan,622666,2018,.236,88.1,5,
Conforto, Michael,624424,2018,.240,88,9.5,
Anderson, Tim,641313,2018,.225,85.9,4.7,
Bellinger, Cody,641355,2018,.235,89.8,8.6,
Mancini III, Trey,641820,2018,.251,89.9,11.8,
Rosario, Amed,642708,2018,.248,87.7,3.9,
Benintendi, Andrew,643217,2018,.282,88.6,6.4,
Albies, Ozzie,645277,2018,.249,86.9,4.7,
Chapman, Matt,656305,2018,.256,93.1,8.9,
Hoskins, Rhys,656555,2018,.229,89,11.4,
Schwarber, Kyle,656941,2018,.240,90.7,12.7,
Moncada, Yoan,660162,2018,.211,91,9.6,
Ortiz, David,120074,2016,.304,93.2,15.5,
Beltre, Adrian,134181,2016,.288,90.1,8.5,
Beltran, Carlos,136860,2016,.266,90.1,6.8,
Werth, Jayson,150029,2016,.241,91.4,7.4,
Martinez, Victor,400121,2016,.283,90,8.4,
Utley, Chase,400284,2016,.255,87.7,4.3,
Pujols, Albert,405395,2016,.279,91.6,9.2,
Mauer, Joe,408045,2016,.276,89.8,6,
Cabrera, Miguel,408234,2016,.329,93.6,15.9,
Gonzalez, Adrian,408236,2016,.270,88.2,4.6,
Phillips, Brandon,408252,2016,.259,86.4,2.7,
Upton Jr., B.J.,425834,2016,.230,88.3,5.8,
Molina, Yadier,425877,2016,.277,87.7,3.6,
Cano, Robinson,429664,2016,.280,90.1,7.3,
Encarnacion, Edwin,429665,2016,.261,90.8,12.3,
Bautista, Jose,430832,2016,.251,91.5,8.3,
Jones, Adam,430945,2016,.257,88.7,8,
Martin, Russell,431145,2016,.221,89.2,9.3,
Granderson, Curtis,434158,2016,.242,87.8,6.9,
Pagan, Angel,434636,2016,.278,85.7,3,
Ramirez, Hanley,434670,2016,.256,90.6,10.4,
Morales, Kendrys,434778,2016,.288,92.8,10.8,
Kendrick III, Howie,435062,2016,.263,90.5,5.8,
Napoli, Mike,435063,2016,.218,89.6,13.3,
Kinsler, Ian,435079,2016,.263,87.1,3.8,
Desmond, Ian,435622,2016,.257,90.7,7.5,
Cruz Jr., Nelson,443558,2016,.274,94.6,16.5,
Trumbo, Mark,444432,2016,.262,92.8,15.6,
Escobar, Alcides,444876,2016,.241,84,1.4,
Prado, Martin,445988,2016,.279,87.9,1.3,
Longoria, Evan,446334,2016,.266,90.8,12.1,
Cozart, Zack,446359,2016,.236,86.3,2.3,
Davis, Chris,448801,2016,.218,91.1,15.1,
Zobrist, Ben,450314,2016,.271,89.2,4.5,
Fowler, Dexter,451594,2016,.250,88.1,5.6,
Headley, Chase,452104,2016,.239,87.3,5.9,
Span, Denard,452655,2016,.270,86,2.8,
Cabrera, Asdrubal,452678,2016,.249,89,5.7,
Ellsbury, Jacoby,453056,2016,.265,86.9,1.7,
Tulowitzki, Troy,453064,2016,.265,90,9.6,
Blackmon, Charlie,453568,2016,.290,87.7,6.8,
Frazier, Todd,453943,2016,.217,89,10.1,
Markakis, Nick,455976,2016,.274,90.7,4.9,
Pedroia, Dustin,456030,2016,.283,88.6,2.5,
Nunez, Eduardo,456488,2016,.250,89.6,4.4,
McCutchen, Andrew,457705,2016,.251,89.6,8.5,
Upton, Justin,457708,2016,.249,91.2,12.2,
Turner, Justin,457759,2016,.274,90.6,8.8,
Posey III, Buster,457763,2016,.282,90.5,6.9,
Espinosa, Danny,457787,2016,.186,90.1,8.2,
Bruce, Jay,457803,2016,.249,88.8,8.4,
Votto, Joey,458015,2016,.298,89.5,9.7,
Gardner, Brett,458731,2016,.250,86.5,2.4,
Saunders, Michael,459431,2016,.232,90,7.7,
Braun, Ryan,460075,2016,.278,90,8.4,
Gordon, Alex,460086,2016,.228,87.8,8.7,
Kemp, Matt,461314,2016,.265,88.2,11.1,
Andrus, Elvis,462101,2016,.277,87.4,1.8,
Cabrera, Melky,466320,2016,.273,89.5,2.1,
Ramos, Wilson,467092,2016,.273,90.8,7.4,
Santana, Carlos,467793,2016,.273,90.8,9.8,
Gonzalez, Carlos,471865,2016,.271,90.2,8.6,
Mercer, Jordy,474568,2016,.237,86.9,2.2,
Belt, Brandon,474832,2016,.258,87.2,11.3,
Carter, Chris,474892,2016,.235,91.7,17.6,
Alonso, Yonder,475174,2016,.256,88.6,4.1,
Escobar, Yunel,488862,2016,.274,89.3,2.8,
Cespedes, Yoenis,493316,2016,.281,91.7,9.8,
Ramirez, Alexei,493351,2016,.240,84.5,0.5,
Davis, Khris,501981,2016,.248,92,17,
Martinez, J.D.,502110,2016,.292,91.5,14.2,
Valencia, Danny,502143,2016,.275,90.1,7.8,
